4.200000000000000000e+06,8.400000000000000000e+08
nan,2.493479606442514296e+02
nan,2.573756834351972316e+02
nan,2.675219359620575119e+02
nan,2.764297414510148201e+02
nan,2.842494584035537173e+02
nan,2.909431119574609284e+02
nan,2.963656651190568709e+02
nan,2.993263457541752359e+02
nan,3.004594334641015507e+02
nan,3.009748781535448074e+02
nan,3.006643511667995199e+02
nan,2.981099135204343042e+02
nan,2.926680425775767844e+02
nan,2.850478648578692287e+02
nan,2.782147893079497862e+02
nan,2.715319052232024433e+02
nan,2.648325903640998149e+02
nan,2.607771666824081080e+02
2.880000000000000000e+02,2.880000000000000000e+02
nan,2.896685076852339762e+02
nan,2.896619079252009783e+02
nan,2.896556235784804016e+02
nan,2.895872474037411166e+02
nan,2.895447228190844271e+02
nan,2.895295045330694279e+02
nan,2.895242087911013300e+02
nan,2.895222637483037715e+02
nan,2.895214088320536234e+02
nan,2.894876813707938936e+02
nan,2.894654557544481008e+02
nan,2.894590592133962446e+02
nan,2.894584404690015731e+02
nan,2.894596718626323195e+02
nan,2.894614207070912926e+02
nan,2.894632492086971638e+02
nan,2.894650198207070275e+02
nan,2.894666944713644625e+02
nan,2.894682663991133040e+02
nan,2.894663233087635490e+02
nan,2.894652813823159363e+02
nan,2.894659019981270944e+02
nan,2.894670631194920247e+02
nan,2.894683326295690904e+02
nan,2.894695633668570167e+02
nan,2.894707040396830848e+02
nan,2.894494086092115595e+02
nan,2.894369809044359272e+02
nan,2.894341395769346263e+02
nan,2.894084492031037144e+02
nan,2.893802321086022857e+02
nan,2.893693403453207225e+02
nan,2.893687263148619309e+02
nan,2.893715714703908475e+02
nan,2.893753476842460373e+02
nan,2.893792038064702865e+02
nan,2.893828662890261398e+02
nan,2.893862560512637856e+02
nan,2.893893594447430360e+02
nan,2.893921848690574166e+02
nan,2.893947482531572177e+02
nan,2.893970682780728794e+02
nan,2.893991648227458882e+02
nan,2.894010585182157911e+02
nan,2.894027706207398865e+02
nan,2.894043230068083403e+02
nan,2.894057381861304066e+02
nan,2.894070390284186942e+02
nan,2.894082476269863378e+02
nan,2.894093850739726008e+02
nan,2.893680058993967350e+02
nan,2.893419079699855843e+02
nan,2.893355608303765507e+02
nan,2.893364283655606641e+02
nan,2.893064590868200980e+02
nan,2.892905537106447582e+02
nan,2.892892550393075339e+02
nan,2.892932743831790958e+02
nan,2.892888131265988818e+02
nan,2.892889065801039692e+02
nan,2.892934862605576996e+02
nan,2.892996349433082059e+02
nan,2.893062242154861679e+02
nan,2.893128761339261814e+02
nan,2.893194718081842325e+02
nan,2.893259776378417314e+02
nan,2.892738240529413929e+02
nan,2.892457214205055038e+02
nan,2.892428462896311885e+02
