lat,xnagb,xnage,xnagd,xnagf,xnagg,xmzke,xmzkg,xmzkh,xmzkb,xmzkc,pi_ctrl,pi_forc,LGM_forc
-89.0,226.50216979980468,226.43088073730468,225.91234436035157,225.666650390625,224.90970764160156,210.57230529785156,209.67929382324218,210.49979553222656,208.3911895751953,211.0082244873047,226.46652526855468,225.4962341308594,210.2504648844401
-87.0,227.3976837158203,227.3344696044922,226.84156799316406,226.5674835205078,225.87474365234374,211.36111145019532,210.493994140625,211.24083557128907,209.06314392089843,211.77933349609376,227.36607666015624,226.42793172200518,211.0319803873698
-85.0,230.9798126220703,230.9488983154297,230.55860900878906,230.17066955566406,229.7347412109375,214.5161895751953,213.752685546875,214.20484924316406,211.75096130371094,214.86376953125,230.96435546875,230.15467325846353,214.15790812174478
-83.0,231.46075744628905,231.39847106933593,231.07506408691407,230.62047424316407,230.44300537109376,217.6113311767578,216.906005859375,217.20122375488282,214.75462341308594,217.97947998046874,231.4296142578125,230.71284790039064,217.2395202636719
-81.0,231.57016296386718,231.55557861328126,231.19164428710937,230.72734985351562,230.69986877441406,220.38250427246095,219.74115295410155,219.98453674316406,217.46840209960936,220.85049743652343,231.56287078857423,230.872954305013,220.03606465657552
-79.0,232.4713104248047,232.52457275390626,232.16713256835936,231.63674926757812,231.7069122314453,223.18150939941407,222.5787322998047,222.7679656982422,220.1277648925781,223.70975036621093,232.4979415893555,231.83693135579426,222.84273579915364
-77.0,234.87078552246095,234.95108642578126,234.65367431640624,234.0407684326172,234.2063751220703,226.518359375,225.90731201171874,226.06375427246093,223.31906433105468,227.03262023925782,234.91093597412112,234.3002726236979,226.16314188639322
-75.0,239.0184783935547,239.02203369140625,238.69677734375,238.1781463623047,238.4811553955078,231.061279296875,230.3834228515625,230.68321228027344,227.9795379638672,231.5369415283203,239.02025604248047,238.4520263671875,230.7093048095703
-73.0,244.9676971435547,244.95352783203126,244.5458984375,244.25232849121093,244.5020294189453,237.038037109375,236.19737548828124,236.53277282714845,233.47769470214843,237.60857238769532,244.96061248779296,244.43341878255208,236.58939514160156
-71.0,251.53978576660157,251.49765625,251.0395965576172,250.95419616699218,251.11410522460938,243.4986602783203,242.65817565917968,242.9607360839844,239.79806823730468,244.11136169433593,251.5187210083008,251.03596598307294,243.03919067382813
-69.0,257.69773864746094,257.70087890625,257.2886077880859,257.23999938964846,257.28905029296874,249.80426940917968,249.1135040283203,249.28485717773438,246.04542541503906,250.50515441894532,257.69930877685545,257.2725524902344,249.4008768717448
-67.0,262.8888366699219,262.9752990722656,262.7093200683594,262.52800903320315,262.48488159179686,255.39313354492188,254.9099365234375,254.95146484375,251.54710388183594,256.2258056640625,262.93206787109375,262.5740702311198,255.08484497070313
-65.0,267.0446472167969,267.0986633300781,267.0237731933594,266.6985168457031,266.6459655761719,259.7806701660156,259.3929443359375,259.53546142578125,255.85301208496094,260.6851806640625,267.0716552734375,266.78941853841144,259.56969197591144
-63.0,270.3040466308594,270.4335998535156,270.1736755371094,269.98845825195315,269.9180847167969,263.5061096191406,263.166552734375,263.12200927734375,259.8324432373047,264.3840576171875,270.3688232421875,270.02673950195316,263.26489054361974
-61.0,272.59844360351565,272.7247619628906,272.4996398925781,272.32432861328124,272.3013549804688,266.40984497070315,266.0791076660156,266.0537902832031,262.9827453613281,267.24692993164064,272.66160278320314,272.37510782877604,266.18091430664066
-59.0,274.28184204101564,274.4189025878906,274.27533569335935,274.074072265625,274.0686279296875,268.75038452148436,268.37864379882814,268.47352905273436,265.53184204101564,269.5194152832031,274.3503723144531,274.13934529622395,268.53418579101566
-57.0,275.67001953125,275.8179138183594,275.7301940917969,275.52606811523435,275.4815368652344,270.6919677734375,270.2519897460937,270.46979370117185,267.66563110351564,271.3848388671875,275.7439666748047,275.5792663574219,270.47125040690105
-55.0,277.04052734375,277.0788269042969,277.0494079589844,276.8891296386719,276.7904968261719,272.3045654296875,271.82476806640625,272.0769958496094,269.5279846191406,272.9642333984375,277.05967712402344,276.90967814127606,272.0687764485677
-53.0,278.3344482421875,278.3710632324219,278.35768432617186,278.23163452148435,278.1229675292969,273.9799560546875,273.56898193359376,273.7922058105469,271.4248107910156,274.68642578125,278.3527557373047,278.23742879231764,273.78038126627604
-51.0,279.5697937011719,279.6104370117188,279.63117065429685,279.54096069335935,279.4302062988281,275.5938781738281,275.2148681640625,275.43366088867185,273.32050170898435,276.3034423828125,279.5901153564453,279.5341125488281,275.4141357421875
-49.0,280.7110290527344,280.7827514648437,280.83123168945315,280.77186889648436,280.6649475097656,277.0858581542969,276.7240356445312,276.98163452148435,275.0969177246094,277.7560546875,280.74689025878905,280.756016031901,276.9305094401042
-47.0,281.84514770507815,281.97185668945315,282.04033813476565,282.00340576171874,281.8933410644531,278.48802490234374,278.1312683105469,278.47166137695314,276.73406372070315,279.1169128417969,281.90850219726565,281.97902832031247,278.3636515299479
-45.0,283.1816711425781,283.3596496582031,283.4620666503906,283.43890380859375,283.2949523925781,279.92510986328125,279.5445251464844,279.9945373535156,278.3100891113281,280.5905456542969,283.2706604003906,283.3986409505208,279.82139078776044
-43.0,284.77898559570315,285.0806457519531,285.1759826660156,285.19805908203125,285.0156555175781,281.6900268554688,281.27736206054686,281.8128967285156,280.1517395019531,282.4249206542969,284.9298156738281,285.12989908854166,281.5934285481771
-41.0,286.5572448730469,286.81354370117185,286.9733581542969,286.9737121582031,286.7554016113281,283.82265625,283.279638671875,283.9188232421875,282.3663024902344,284.5025695800781,286.6853942871094,286.9008239746094,283.6737060546875
-39.0,288.35797729492185,288.53095092773435,288.74089965820315,288.6935729980469,288.4896545410156,285.739453125,285.094189453125,285.812890625,284.3906677246094,286.3358459472656,288.4444641113281,288.64137573242186,285.54884440104166
-37.0,289.97405395507815,290.08869018554685,290.290478515625,290.21906127929685,290.07713012695314,287.22312622070314,286.51991577148436,287.2734130859375,285.96791381835936,287.73895874023435,290.0313720703125,290.195556640625,287.00548502604164
-35.0,291.1496887207031,291.2257995605469,291.359130859375,291.3453063964844,291.2597961425781,288.4226379394531,287.6117858886719,288.3564453125,287.1473083496094,288.8279724121094,291.187744140625,291.3214111328125,288.1302897135417
-33.0,292.0795959472656,292.16107788085935,292.238916015625,292.22040405273435,292.1404602050781,289.4314758300781,288.5222595214844,289.2763427734375,288.1704528808594,289.73041381835935,292.1203369140625,292.19992675781253,289.0766927083333
-31.0,293.062548828125,293.1509033203125,293.18150634765624,293.1851867675781,293.04871826171876,290.43064575195314,289.5153869628906,290.202978515625,289.1510803222656,290.65821533203126,293.1067260742187,293.13847045898433,290.04967041015624
-29.0,294.0266967773438,294.09266357421876,294.08046875,294.1220764160156,293.94066162109374,291.3920959472656,290.48224487304685,291.1197875976562,290.08644409179686,291.57384033203124,294.0596801757813,294.04773559570316,290.99804280598954
-27.0,294.93479614257814,294.9486389160156,294.9161682128906,294.9836181640625,294.79262084960936,292.2893981933594,291.3425720214844,291.9946594238281,290.96039428710935,292.44170532226565,294.94171752929685,294.8974690755208,291.8755432128906
-25.0,295.7842102050781,295.7460021972656,295.7557678222656,295.79248046875,295.6011657714844,293.0977478027344,292.0447692871094,292.7799377441406,291.7433776855469,293.2281799316406,295.7651062011719,295.7164713541667,292.6408182779948
-23.0,296.53159790039064,296.3833068847656,296.5040588378906,296.4584716796875,296.3029479980469,293.76007690429685,292.6940124511719,293.37498168945314,292.3876647949219,293.90178833007815,296.45745239257815,296.421826171875,293.27635701497394
-21.0,297.1604064941406,296.9949584960938,297.20554809570314,297.06065063476564,296.93840942382815,294.36436157226564,293.3039611816406,294.0144836425781,292.9955139160156,294.5483703613281,297.0776824951172,297.068202718099,293.89426879882814
-19.0,297.7594055175781,297.58046875,297.8523742675781,297.64067993164065,297.55645141601565,294.9092712402344,293.8681579589844,294.6186096191406,293.52293090820314,295.12986450195314,297.66993713378906,297.68316853841145,294.46534627278646
-17.0,298.3448974609375,298.1392883300781,298.44545288085936,298.211669921875,298.1510925292969,295.4122375488281,294.38820190429686,295.1541259765625,293.9853576660156,295.65806274414064,298.24209289550777,298.2694051106771,294.98485514322914
-15.0,298.8607177734375,298.6708068847656,298.9944763183594,298.7581787109375,298.6614685058594,295.9094543457031,294.8737487792969,295.6343994140625,294.4576721191406,296.1946105957031,298.76576232910156,298.80470784505206,295.4725341796875
-13.0,299.4970458984375,299.36284790039065,299.6835632324219,299.4310302734375,299.3262878417969,296.6461242675781,295.6088806152344,296.3669189453125,295.20383911132814,296.94688110351564,299.42994689941406,299.4802937825521,296.2073079427083
-11.0,300.22922973632814,300.1097839355469,300.3999328613281,300.1641418457031,300.0495910644531,297.2802001953125,296.2277038574219,296.9808044433594,295.8601013183594,297.5717834472656,300.1695068359375,300.2045552571615,296.82956949869794
-9.0,300.81337280273436,300.7090637207031,300.9846984863281,300.74237670898435,300.63148803710936,297.75660400390626,296.70546264648436,297.43132934570315,296.3565979003906,298.0293395996094,300.76121826171874,300.7861877441406,297.2977986653646
-7.0,301.1453369140625,301.0626525878906,301.3451293945312,301.06557006835936,300.970458984375,298.03920288085936,297.0031677246094,297.679931640625,296.63096313476564,298.2816955566406,301.10399475097654,301.1270528157552,297.5741007486979
-5.0,301.2607421875,301.1770324707031,301.45465087890625,301.1485290527344,301.0633544921875,298.1108093261719,297.0675964355469,297.6942138671875,296.6283264160156,298.2931213378906,301.21888732910156,301.22217814127606,297.62420654296875
-3.0,301.070849609375,300.91209106445314,301.2438110351562,300.8697448730469,300.767578125,297.85529174804685,296.85341186523436,297.440234375,296.3560363769531,298.0247375488281,300.99147033691406,300.9603780110677,297.3829793294271
-1.0,300.94810180664064,300.7735290527344,301.1588562011719,300.7478088378906,300.6412658691406,297.6841125488281,296.72503051757815,297.2915954589844,296.19756469726565,297.8924926757812,300.8608154296875,300.8493103027344,297.23357950846355
1.0,301.22785034179685,301.0554504394531,301.42388305664065,301.0022033691406,300.9291198730469,297.96165161132814,297.0510681152344,297.6189880371094,296.53363647460935,298.22154541015624,301.141650390625,301.11840209960934,297.5439025878906
3.0,301.72771606445315,301.5763671875,301.86359252929685,301.4606018066406,301.44130249023436,298.5014404296875,297.62636108398436,298.1957946777344,297.15410766601565,298.7998962402344,301.6520416259766,301.58849894205724,298.1078653971354
5.0,301.7475891113281,301.67919921875,301.9032897949219,301.5588684082031,301.5534362792969,298.566162109375,297.6719665527344,298.1980895996094,297.2579650878906,298.8783874511719,301.71339416503906,301.67186482747394,298.14540608723956
7.0,301.6265441894531,301.4966796875,301.7576843261719,301.47258911132815,301.4686706542969,298.3901123046875,297.3773620605469,298.06171264648435,297.0263732910156,298.7109069824219,301.5616119384765,301.5663146972656,297.9430623372396
9.0,301.58070068359376,301.4388000488281,301.6542663574219,301.3987243652344,301.3932250976562,298.2488708496094,297.1633056640625,297.9590637207031,296.8693603515625,298.6331481933594,301.50975036621094,301.48207194010416,297.7904134114583
